a.m,n.(缩)上午；午前
music,n.音乐乐曲乐谱伴奏美妙的声音
musical,adj.音乐的和谐的n.音乐片
musician,n.音乐家作曲家
must,v.aux.必须必然要n.必须一定绝对发霉果汁麝香
mute,"adj.缄默的哑的无声的n.哑巴默音字母弱音器vt.减音减弱
vi.(鸟)排泄"
mutter,vi.轻声低语喃喃自语作低沉声抱怨出怨言n.喃喃低语
mutton,n.羊肉
mutual,adj.相互的共同的
my,"pron.我的adj.我的(I的所有格形式)int.哎呦(用于表示惊讶的
感叹词)"
myself,pron.我自己我亲自
mysterious,adj.神秘的难以理解的不可思议的
mystery,n.神秘秘密神秘的人或事物
myth,"n. 神话,虚构的事,虚构的人"
nail,n.钉子指甲vt.钉使牢固抓捕敲定
naive,"a. 天真的,纯真的,朴素的"
naked,adj.裸体的无遮敝的明白的手无寸铁的
name,n.名字名称姓名名誉vt.说出命名称呼任命adj.有名的著名的
namely,adv.即也就是
nap,n.小睡打盹瞌睡绒毛表面vi.小睡疏忽vt.使…起毛
narrative,"n. 叙述,故事 a. 叙述的,叙事的"
narrow,"adj.狭的狭窄的精密的有限的n.狭窄部份海峡隘路vt.变窄使...
狭窄vi.变窄"
nasty,a.龌龊的；淫猥的
nation,n.民族国家
national,adj.民族的国家的n.国民
nationality,n.国籍民族族
native,adj.本土的本国的出生地的天生的n.本地人土著人
natural,adj.自然界的天然的正常的天生的n.有天赋的人
naturally,adv.自然地天然地
nature,n.大自然自然界自然状态本性性质类型
naughty,adj.顽皮的淘气的粗俗的
naval,adj.海军的军舰的<古>船舶的
navigation,n.航行航海术导航
navy,n.海军船队深蓝色
near,"adv.近接近几乎亲近adj.近的接近的亲近的勉强的直接的小气的
近似的prep.靠近vt.靠拢接近vi.接近"
nearby,adj.附近的adv.在附近prep.在...附近
nearly,adv.差不多几乎密切地
neat,adj.整洁的熟练的巧妙的端正的极好的纯的adv.整齐地
necessarily,adv.必然必定必需地
necessary,adj.必要的必需的必然的n.
Necessitate,"vt. 迫使,使成为必需,需要"
necessity,n.必要性必然性需要必需品
neck,n.颈脖子
necklace,n.项链项圈
need,vt.需要必需v.aux.需要n.需要必须缺乏
needle,n.针缝补编织针vt.用针缝激怒嘲弄vi.缝纫
needless,adj.不需要的无用的
negative,adj.否定的消极的负的n.底片负数否定vt.否定
neglect,vt.忽视忽略疏忽不顾n.疏忽忽略怠慢
negligible,a.微不足道的
negotiate,vi.谈判，交涉，议定
Negro,n.(含歧视意味)黑人adj.黑人的
neighbour,n.邻居(邻近的东西邻近值)邻国邻人vt.邻接(相邻接近)
neighbourhood,n.邻居关系邻近
neither,adj.(两者)都不的皆不int.两者都不conj.既非既不
nephew,n.侄子外甥
nerve,n.神经(生物)勇敢胆量精神勇气叶脉vt.鼓起勇气
nervous,adj.神经(质)的易激动的紧张的焦虑的
nest,n.巢窝穴vt.嵌入vi.筑巢
net,"n.网网状物通信网净利实价adj.净余的纯粹的vt.用网捕撒网净
赚"
network,n.网状物网络系统广播网vt.用网覆盖联网vi.加入网络
neutral,adj.中立的中性的n.中立者空挡的素净色
never,adv.永不决不不
nevertheless,conj.然而不过adv.仍然不过
new,adj.新的新近出现的附加的adv.新的
newly,adv.新近重新地最近
news,n.新闻消息
newspaper,n.报纸报报社新闻纸v.从事新闻工作
next,adj.紧接的贴近的下一个的adv.其次n.下一个prep.靠近
nice,adj.美好的令人愉快的漂亮的善意的
nickel,n.镍；镍币
niece,n.侄女外甥女教士的私生女
night,n.夜夜间
nightmare,n.恶梦；经常的恐惧
nine,num.九九个
nineteen,num.十九十九个
ninety,num.九十九十个
ninth,num.第九九分之一adj.第九的九分之一的
nitrogen,n.氮
no,adv.不并不adj.没有不是绝非n.不拒绝否决票
noble,adj.贵族的高尚的宏伟的贵族的高贵的n.贵族
nobody,pron.谁也不无人没有人n.无足轻重的人小人物
nod,vt.点(头)点头表示打盹摆动v.点头打盹使...摆动
noise,n.喧闹声响声噪声vt.谣传vi.大声说话发出噪音
noisy,adj.嘈杂的喧闹的发出噪声的
Nominal,"a. 名义上的,名字的 n. 名词性词"
nominate,vt.提名，推荐；任命
none,pron.没有人没有任何东西adv.毫不一点也不
Nonetheless,"adv. 尽管如此,然而"
nonsense,n.胡说废话荒唐
noon,n.正午中午全盛期顶点
nor,"conj. &adv.也不也没有不""或非""""非或""abbr.诺曼人
(=Norman)abbr.北方(=North)abbr.挪威(= Norway)abbr.挪威人
(=Norwegian)"
norm,n.标准，规范；平均数
normal,adj.正常的正规的普通的n.常态标准
normally,adv.通常正常地
north,n.北北方adj.北北方的adv.向北方
northeast,"n.东北adj.位于东北的东北的向东北的来自东北的adv.向东北来
自东北"
northern,adj.北方的北部的
northwest,"n.西北西北方adj.位于西北的西北的在西北的来自西北的adv.向
西北"
nose,n.鼻子突出部分嗅觉v.嗅嗅到
not,adv.不没有
notable,n.值得注意的；著名的
Notation,"n. 记号法,表示法,注释"
note,n.笔记便条注释备忘录音符音调票据纸币vt.记录注解注意
notebook,n.笔记本笔记本电脑期票簿
nothing,n.没有东西微不足道的人或事adv.毫不pron.什么也没有
notice,vt.注意通知留心n.通知注意布告
noticeable,adj.显而易见的重要的
notify,vt.通知，告知；报告
notion,n.概念，意念；看法
notorious,a.臭名昭著的
notwithstanding,prep.尽管，虽然
noun,n.名词
nourish,vt.提供养分，养育
novel,n.小说adj.新的新奇的
novelty,n.新颖；新奇的事物
November,n.十一月
now,"adv. 现在立刻于是adj. 现存的目前的n. 现在此刻conj. 既然
abbr.=National Organization of Women 全国妇女组织"
nowadays,adv.现今现在
nowhere,adv.任何地方都不n.不知道的地方无处
nuclear,adj.原子核的原子能的核心的
nucleus,n.核核心(原子)核细胞核
nuisance,n.讨厌的东西讨厌的人伤害
number,n.数数字号码数量vi.总计编号vt.编号把...算作
numerical,a.数字的，数值的
numerous,adj.为数众多的许多
nurse,n.保姆护士奶妈vt.看护哺乳vi.看护照顾栽培当看护
nursery,n.托儿所苗圃
nut,n.坚果干果螺母螺帽难对付的人(事)vi.采坚果
Nutrition,"n. 营养,营养学"
nylon,n.尼龙耐纶(复数nylons)：女长袜
oak,n.栎属植物栎木橡树橡木adj.橡木制的
oar,n.浆橹划手v.划行
oath,n.誓言，誓约，宣誓
obedient,n.服从的，顺从的
obey,vt.顺从vi.服从听从
object,n.物物体目的目标宾语v.反对提出...作为反对的理由抱反感
objection,n.反对异议不喜欢
objective,"adj.客观的目标的无偏见的n.目标目的物镜=objective case 宾
语"
obligation,n.义务，职责，责任
oblige,vt.迫使强制施恩惠于vi.帮忙
obscene,"a. 淫秽的,猥亵的"
obscure,a.阴暗的；蒙昧的
observation,n.注意观察观察力评论adj.被设计用来观察的
observe,vt.遵守看到注意到说观察
observer,n.观察员观测者
obstacle,n.障碍障碍物妨害绊脚石
obtain,vt.获得得到买到vi.通用流行存在
obvious,adj.明显的显而易见的
obviously,adv.明显地显然地
occasion,n.场合时刻时机机会理由vt.致使惹起引起
occasional,adj.偶然的临时的不时的
occasionally,adv.偶然非经常地
occupation,n.占领占据侵占职业居住
occupy,vt.占领占占有占据使忙碌居住担任
occur,vi.发生出现存在想到
occurrence,n.发生出现事件
ocean,n.海洋洋大量
Oceania,n.大洋洲
o'clock,ad.=of the clock...点钟
October,n.十月
odd,adj.奇数的单只的古怪的剩余的
odor,"n. 气味,名声,味"
odour,n.气味香气味道=odor(美)
of,prep.出生于住在关于...的由于
off,"adv.(离)开(停)止出发距离隔断分割不继续运行下台adj.远的休
假的空闲的落后懈怠的prep.离开脱落下班vi.离开走开"
offence,n.犯罪，犯规；冒犯
offend,vt.冒犯犯罪vi.犯过错令人不适违反
offensive,a.冒犯的；进攻的
offer,vt.提供提出出价贡献奉献vi.提议出现求婚n.提供出价
office,n.办公室职务事务处局社
officer,n.官员干事军官vt.提供官员指挥
official,adj.官员的官方的正式的有权威的n.官员
offset,n.分支，抵销 vt.抵销
offspring,n.儿女，子孙，后代
often,adv.经常常常
oh,int.嗬哦唉呀
oil,n.油石油油画颜料奉承话vt.加油于涂油溶化
okay,(缩作OK)adv.&adj.<表示同意或允许>对好同意vt.同意
old,"a.老的某年龄的以前的陈旧的熟悉的成熟的...岁的n.古时某年
龄"
omit,vt.省略省去遗漏疏忽
on,"prep. 在...上在...旁由...支撑着在(某一天)  使用根据,开
adv. 穿着向前(移动) 表示持续性adj.  表示已连接、处于工作
状态或使用中表示发生值班abbr. =Ontario安大略湖"
once,adv.一次曾经n.一次conj.一旦
one,"num.一pron.一个人某人任何人n.一第一个一美元纸币adj.单一
的某一个同一种类的同意的唯一的"
oneself,pron.自己亲自
onion,n.洋葱洋葱头
only,"adv.只仅仅专门地唯一地刚才adj.最好的唯一的出众的conj.除
非但是然而毕竟"
onto,prep.到...上
opaque,a.不透明的；不传导的
open,"adj.开的开着的开放的公开的vt.开打开公开开放开始vi.开通行
大叫n.公开户外空旷"
opening,adj.开始的n.开始开口揭幕空缺的职务动词open的现在分词
opera,n.歌剧挪威Opera软件公司的浏览器软件
operate,vi.操作施行手术运转vt.起作用动手术
operation,n.操作手术运算行动活动
operational,adj.操作上的可使用的运作的
operator,n.操作人员接线员管理者技工报务员
opinion,n.意见看法主张判断
opponent,n.对手敌手对抗者反对者adj.敌对的反对的
opportunity,n.机会时机良机
oppose,vt.反对反抗以...对抗抗争
opposite,"adj.对面的相对的相反的n.对立物对立者对手adv.在对面地处于
相反位置地prep.在...对面"
oppress,vt.压迫，压制；压抑
optical,adj.眼的眼睛的视觉的光学的
optimism,n.乐观，乐观主义
optimistic,adj.乐观的乐观主义的
optimum,n.最适条件，最适度
option,n.选择选择权可选物vt.选择
optional,adj.可以任意选择的
or,conj.或或者即还是否则
oral,adj.口头的口的n.口试
orange,n.橙(树)柑(树)橙黄色adj.橙色的
orbit,"n.运行轨道势力范围眼眶轨迹vt.环绕绕轨道而行进入轨道vi.盘
旋"
orchestra,n.管弦乐队
order,n.次序整齐勋章阶级决议订单命令vt.命令调整定购
orderly,"adj.整洁的有秩序的一丝不苟的和平的adv.有秩序地有条理地依
次地n.勤务兵(医院的)勤务工"
ordinary,adj.平常的平凡的普通的
ore,n.矿矿石矿砂
organ,n.器官机构管风琴机关报刊
organic,adj.有机体的器官的根本的接近自然的n.有机物质
organism,n.生物体有机体
organization,n.组织团体机构adj.有组织的
organize,vt.组织编组vi.组织起来
orient,n.东方；亚洲，远东
oriental,a.东方的；东方国家的
orientation,n.向东；定位；方向
origin,n.起源由来出身
original,"adj.最初的新颖的原始的有独创性的原版的n.原件原稿有独创性
的人怪人"
originate,vi.发源 vt.首创
ornament,n.装饰物 vt. 装修
orphan,n.孤儿adj.无双亲的孤儿的vt.成孤儿
Orthodox,"a. 正统的,传统的,惯常的"
other,"adj.另外的别的其余的pron.另一个人(或事)n.其他人(或
事)adv.否则不同地"
otherwise,adv.另外要不然否则不同地在不同方面pron.其他adj.不同的
ought,v.aux.应当应该conj.应该大概
ounce,n.盎司英两
our,pron.我们的adj.我们的
ours,pron.我们的
ourselves,pron.我们自己
out,"adv. 出在外向外出现现出来离岸外出出去出局用尽完成结束
adj.  外面的向外的落伍的不做考虑的vt. 释放出结露vi. 揭发
prep.  向外通过n. 外面在野者下台者出局的一击"
Outbreak,n.(战争、愤怒等)爆发
outcome,n.结果后果成果
outdoor,adj.户外的室外的野外的露天的
outdoors,adv.在户外在野外n.露天野外名词outdoor的复数形式
outer,adj.外部的外面的
outlet,n.出口出路通风口批发商店排遣
outline,n.轮廓略图大纲概要素描vt.描画轮廓描述要点
outlook,n.观点看法展望前景景色
output,n.产量输出量输出输出功率输出端vt.输出(信息等)
outset,n.开始开端
outside,n.外部外表adj.外部的adv.在外面prep.在...外pron.在...外边
outskirt,n.外边郊区
outstanding,adj.突出的杰出的显著的未支付的
outward,adj.外面的向外的表面的外部的adv.向外在外表面
outwards,adv.向外在外外表上往海外=outward
oval,a.卵形的 n.卵形
oven,n.炉灶烘箱烤炉
over,"prep.在...上方超过表示能控制在...期间adj.结束的超过的多
余的adv.结束落下穿过完全覆盖vt.越过"
overall,"n.工装裤防护服罩衫adj.全面的全部的全体的一切在内的adv.总
的来说全部地"
overcoat,n.外衣大衣
overcome,vt.战胜克服(感情等)压倒使受不了vi.获胜赢
overflow,vt.从…中溢出
overhead,"adj.在头顶上的架空的高架的n.经常开支普通用费adv.在头顶上
在空中在高处"
overhear,vt.偶然听到；偷听
overlap,vt.与…交搭 vi.重迭
overlook,vt.眺望俯瞰远眺看漏放任没注意到忽视n.高出
overnight,adv.一夜昨晚一晚上突然adj.通宵的晚上的前夜的n.前晚
overseas,adv.在海外adj.在海外的
Overt,"a. 明显的,公然的"
overtake,vt.追上赶上压倒突然来袭
overthrow,vt.推翻 n.推翻，瓦解
overtime,"adj.超时的加班的adv.在规定时间之外(超出时间地)n.加班时间
(加班加点费)"
overwhelm,vt.压倒，使不知所措
owe,vt.欠(债等)应把...归功于vi.欠钱
owl,n.猫头鹰枭
own,adj.自己的嫡亲的vt.有拥有承认vi.承认pron.自己的
owner,n.物主所有人
ownership,n.所有(权)所有制
ox,n.牛公牛阉牛
oxide,n.氧化物
P.M.,n.下午午后abbr.下午(=post meridiem
pamphlet,n.小册子
panic,n.恐慌，惊慌
paradise,n.伊甸乐园；天堂
paradox,"n. 似非而是的论点,自相矛盾的话"
paralyze,"vt. 使瘫痪,使麻痹"
parameter,n.参(变)数；参量
participant,n.参加者 a.有份的
partition,n.分开，分割；融墙
pastime,n.消遣，娱乐
pasture,n.牧场；牲畜饲养
patent,a.专利的 n.专利
pathetic,a.哀婉动人的；可怜的
patriotic,a.爱国的
patrol,n.巡逻 n.巡逻，巡查
pave,vt.铺，筑(路等)
pearl,n.珍珠；珍珠母
pedal,n.踏脚，踏板，脚蹬
pedestrian,n.行人，步行者
peel,vt.剥(皮)，削(皮)
peer,vi.凝视；隐约出现
penalty,n.处罚，刑罚；罚款
Pendulum,n.(钟等的)摆
pension,n.抚恤金，年金
perception,n.感觉；概念；理解力
perfection,n.尽善尽美；无比精确
perfume,n.香味，芳香；香料
periodic,n.周期的； 一定时期的
periodical,n.期刊，杂志
perish,vi.死亡，夭折；枯萎
Permeate,"vt. 弥漫,渗透,充满 vi. 透入"
Permissible,a. 可允许的
perpetual,a.永久的；四季开花的
perplex,vt.迷惑，困惑，难住
Persistent,"a. 固执的, 坚持的, 持续的"
pest,n.害虫；害人虫
petition,n.请愿 vt.向…请愿
petty,a.细小的；器量小的
phase,n.阶段时期局面方面相位vt.逐步执行实行按计划进行
phenomenon,n.现象非凡的人或事物
philosopher,n.哲学家思想家达观者
philosophy,n.哲学哲理人生观
phone,"n.电话电话机耳机,音素v.打电话suf.表示“声音说...语言的人
”"
photograph,n.照片相片vi.照相摄影vt.给...照相
photographic,adj.摄影的摄影用的逼真的
phrase,"n.短语习惯用语个人风格乐句vt.措词表达将(乐曲)分成乐句(来
演奏)"
physical,adj.身体的物质的物理的n.体检
physician,n.医生内科医生
physicist,n.物理学家<古>自然科学家
physics,n.物理学
Physiological,"a. 生理学的, 生理学上的"
piano,n.钢琴adj. & adv.轻柔
pick,"n.镐鹤嘴锄采摘精选精品收获量vt.拾摘挑选挑惕剔除戳撬vi.慎
选凿吹毛求疵采收采摘"
picnic,n.郊游野餐愉快的时间猪脊肉vi.野餐
picture,n.画图片照片景色vt.画描写想像
pie,n.(西点)馅饼派杂乱喜鹊爱说话的人饼图vt.弄乱
piece,n.碎片块片篇vt.拼合修补结合
pierce,vt.剌穿穿透洞悉vi.穿入n. 皮尔斯
pig,n.猪小猪野猪
pigeon,n.鸽子
pile,n.堆桩大量核反应堆vt.堆叠堆积累积装载vi.形成堆拥挤进入
